canonical_name,primary_role,nationality,total_matches_played,latest_sold_price,predicted_valuation,valuation_diff,value_margin_ratio
Deepak Punia,All-Rounder,,11,1000000.0,5939572.48,4939572.48,5.94
LA Pomersbach,Batsman,,33,300000.0,5163319.04,4863319.04,17.21
AA Kulkarni,Bowler,,4,7500000.0,12287817.54,4787817.54,1.64
Sonu Singh,Bowler,,7,2000000.0,6751648.83,4751648.83,3.38
Tanay Thyagarajan,All-Rounder,Indian,16,2000000.0,6712388.95,4712388.95,3.36
PJ Hughes,Batsman,,7,100000.0,4797668.92,4697668.92,47.98
MS Bisla,Wicket Keeper,,39,6000000.0,10676371.77,4676371.77,1.78
Manzoor Dar,All-Rounder,,15,2000000.0,6557825.65,4557825.65,3.28
Manan Sharma,All-Rounder,,8,1000000.0,5475882.6,4475882.6,5.48
Chaitanya Bishnoi,All-Rounder,,38,2000000.0,6459785.9,4459785.9,3.23
R Sathish,All-Rounder,,38,2000000.0,6459785.9,4459785.9,3.23
Umang Sharma,Batsman,,11,1000000.0,5415922.09,4415922.09,5.42
Kanishk Seth,All-Rounder,,14,2000000.0,6403262.36,4403262.36,3.2
Abid Mushtaq,All-Rounder,Indian,14,2000000.0,6403262.36,4403262.36,3.2
Mohit Rathee,All-Rounder,Indian,1,3000000.0,7393868.84,4393868.84,2.46
Aditya Garhwal,All-Rounder,,17,2500000.0,6866952.24,4366952.24,2.75
M Kartik,Bowler,,56,10000000.0,14325250.21,4325250.21,1.43
S Narwal,All-Rounder,,7,1000000.0,5321319.31,4321319.31,5.32
Fazil Rashid,Bowler,Overseas,8,20000000.0,24300257.87,4300257.87,1.22
Akash Vasisht,All-Rounder,Indian,13,2000000.0,6248699.07,4248699.07,3.12
D Salunkhe,All-Rounder,,6,1000000.0,5166756.01,4166756.01,5.17
Saurabh Dubey,Bowler,Indian,3,2000000.0,6133395.66,4133395.66,3.07
A Edwards,Unknown,Overseas,0,30000000.0,34083768.03,4083768.03,1.14
Rahul Buddhi,Batsman,Indian,15,2000000.0,6034175.27,4034175.27,3.02
Sakib Hussain,Bowler,Indian,13,3000000.0,7025962.38,4025962.38,2.34
M Vijay,Batsman,,116,20000000.0,23991930.98,3991930.98,1.2
Manish Sharma,Bowler,Indian,2,2000000.0,5978832.37,3978832.37,2.99
Kshitiz Sharma,All-Rounder,,11,2000000.0,5939572.48,3939572.48,2.97
P Parameswaran,Bowler,,8,3000000.0,6906212.13,3906212.13,2.3
Ishara Perera,All-Rounder,,0,10000000.0,13892230.34,3892230.34,1.39
SZ Mulani,All-Rounder,Indian,34,2000000.0,5841532.73,3841532.73,2.92
Ravi Singh,Unknown,Indian,1,9500000.0,13191290.08,3691290.08,1.39
D Padikkal,Batsman,Indian,114,20000000.0,23682804.39,3682804.39,1.18
Nithish Kumar Reddy,Wicket-Keeper,Indian,46,2000000.0,5644539.81,3644539.81,2.82
Ashok Sharma,Bowler,Indian,6,9000000.0,12596944.13,3596944.13,1.4
MK Lomror,All-Rounder,Indian,71,17000000.0,20560162.46,3560162.46,1.21
SN Mandal,All-Rounder,,2,1000000.0,4548502.84,3548502.84,4.55
Tejas Baroka,Bowler,Indian,3,2000000.0,5480329.45,3480329.45,2.74
Akash Deep,Bowler,Indian,35,10000000.0,13426284.13,3426284.13,1.34
YV Takawale,Wicket Keeper,,22,1000000.0,4395800.28,3395800.28,4.4
DR Deshmukh,All-Rounder,,7,2000000.0,5321319.31,3321319.31,2.66
Shivam Sharma,All-Rounder,Indian,11,2000000.0,5286506.27,3286506.27,2.64
Ravikumar Samarth,Batsman,Indian,10,2000000.0,5261358.8,3261358.8,2.63
RG More,Bowler,,14,1000000.0,4180596.38,3180596.38,4.18
Chirag Suri,Batsman,,3,1000000.0,4179415.75,3179415.75,4.18
DR Shorey,All-Rounder,,29,2000000.0,5068716.26,3068716.26,2.53
Jaydev Shah,All-Rounder,,5,2000000.0,5012192.72,3012192.72,2.51
Sonu Yadav,All-Rounder,Indian,5,2000000.0,5012192.72,3012192.72,2.51
MJ Suthar,Bowler,Indian,6,3000000.0,5944019.33,2944019.33,1.98
Urvil Patel,Wicket-Keeper,Indian,41,2000000.0,4871723.34,2871723.34,2.44
